[45.5240497, -122.6370634]
[47.2150945, -123.1007066]
[45.4942838, -122.8670454]
[37.68717609999999, -97.33005299999999]
[37.7749295, -122.4194155]
[40.3763701, -104.6921874]
[35.878937, -97.42531849999999]
[33.3061605, -111.8412502]
[38.6802826, -97.6044806]
[40.8076529, -91.1128901]
[41.9572933, -77.4388719]
[37.9577016, -121.2907796]
[28.9541368, -95.35966169999999]
[39.9611755, -82.99879419999999]
[41.6005448, -93.6091064]
[29.95106579999999, -90.0715323]
[45.899401, -108.3015174]
[40.7607793, -111.8910474]
[33.1073435, -92.35668609999999]
[41.0893878, -112.0646657]
[34.5442609, -91.9690284]
[31.7618778, -106.4850217]
[39.684755, -88.30643669999999]
[33.954737, -118.2120161]
[36.1988592, -115.1175013]
[35.0853336, -106.6055534]
[28.9180294, -98.5464068]
[44.9537029, -93.0899578]
[38.3953601, -91.13530200000001]
[36.7682088, -76.2874927]
[40.4128551, -74.307282]
[29.0338575, -95.4343859]
[40.5246711, -111.8638226]
[39.768403, -86.158068]
[39.7294319, -104.8319195]
[44.840798, -93.2982799]
[38.24935809999999, -122.0399663]
[30.7821781, -92.38136209999999]
[32.3665322, -96.1008056]
[37.5482697, -121.9885719]
[35.7478769, -95.3696909]
[34.0522342, -118.2436849]
[32.7554883, -97.3307658]
[33.0581063, -112.0476423]
[37.547597, -82.9259979]
[42.2180724, -70.94103559999999]
[33.4941704, -111.9260519]
[33.7475203, -116.9719684]
[26.534403, -99.154991]
[38.6270025, -90.19940419999999]
[42.8806437, -71.3273346]
[31.1745732, -105.3571764]
[32.5007037, -94.74048909999999]
[30.267153, -97.7430608]
[26.1224386, -80.13731740000001]
[33.5873164, -102.37796]
[32.7554883, -97.3307658]
[43.8231096, -111.7924237]
[39.2903848, -76.6121893]
[38.2544472, -104.6091409]
[39.6573556, -74.8623203]
[39.7392358, -104.990251]
[45.0380201, -93.3866185]
[33.1667601, -101.7937669]
[35.5941238, -119.3409457]
[33.4483771, -112.0740373]
[33.0508859, -109.3280282]
[39.9611755, -82.99879419999999]
[41.2523634, -95.99798829999999]
[33.4520535, -97.76669989999999]
[37.9577016, -121.2907796]
[29.5571825, -95.80856229999999]
[36.1156071, -97.0583681]
[42.9133602, -85.7053085]
